Length,Width,Volume
35.3,24.5,11128
33.7,24.4,10487
33.5,23.8,9944
38.2,25.2,12657
37.0,25.9,12994
36.0,23.7,10595
33.9,26.3,12268
36.7,27.5,14544
33.6,24.5,10557
37.1,25.1,12195
34.5,25.0,11302
41.4,30.6,20245
39.0,31.1,19778
43.4,33.1,24853
46.1,37.2,33286
37.4,28.8,16187
44.7,35.4,29233
39.9,33.8,23822
38.5,33.0,21920
41.2,30.3,19752
47.8,35.5,31496
41.5,37.2,30138
43.6,39.1,34894
39.7,34.0,23996
43.8,34.3,26905
41.0,37.4,30078
36.7,26.8,13797
44.5,32.2,24152
44.9,37.1,32397
42.5,32.8,23857
48.2,38.6,37583
41.1,35.1,26513
44.2,36.3,30579
42.07,27.57,16739
45.4,34.6,28498
38.9,30.2,18494
43.8,30.8,21691
43.1,32.2,23386
41.2,31.4,21260
40.3,32.0,21636
41.6,33.5,24456
30.4,25.6,10425
43.1,35.7,28708
45.9,27.6,18258
46.6,30.0,21990
41.2,34.0,24958
41.3,34.8,26226
31.2,24.9,10102
39.0,32.5,21595
43.5,33.4,25408
44.9,34.1,27331
40.0,28.7,17269
41.1,30.1,19483
36.2,28.3,15171
41.9,33.4,24394
40.8,28.6,17460
22,14,2230
30,21,7263
35,25,11032
38,24,11541
37,26,13243
36,27,13600
39,27,14509
41,28,16110
40,28,16225
43,27,16452
41,28,16896
41,28,17458
43,28,18166
41,29,18865
41,30,19779
43,30,20406
42,31,20634
42,31,21197
46,30,21428
40,33,22742
40,33,22936
46,32,24427
46,35,30063
47,36,31569
48,37,34452
39.3,26.5,14398
39.1,27.0,14963
30.9,23.9,9193
40.4,26.6,14949
40.2,25.9,14101
36.4,22.9,9992
35.9,23.2,10105
41.0,23.1,11414
39.3,26.9,14890
39.6,24.9,12844
37.5,29.9,17519
41.2,31.9,21887
40.4,29.3,18195
32.0,26.1,11373
40.5,32.9,22979
34.8,28.6,14859
43.2,32.2,23354
35.2,25.1,11571
35.6,23.6,10421
38.4,29.7,17659
20.7,16.8,3069
33.2,22.5,8765
31.6,23.7,9244
33.3,23.8,9902
33.8,25.5,11537
35.2,25.2,11669
34.2,27.0,13049
35.7,26.7,13295
37.5,27.2,14576
36.6,27.6,14639
38.4,27.7,15369
33.1,30.6,16252
37.3,30.3,17883
36.6,31.3,18805
38.8,30.9,19345
40.5,30.5,19735
41.0,31.2,20865
41.4,31.2,21108
37.8,33.1,21641
42.8,33.0,24399
41.2,34.0,25020
43.2,33.8,25784
36.1,23.3,10281
33.1,24.5,10360
31.7,24.2,9708
31.5,22.5,8319
31.8,23.3,9053
34.2,24.9,11063
35.1,26.4,12802
33.8,25.2,11272
32.2,24.3,10003
34.6,29.7,15949
40.6,27.2,15754
36.0,27.8,14595
30.8,26.7,11476
36.7,25.5,12542
35.7,27.8,14448
36.8,24.6,11627
31.7,27.2,12290
37.2,27.7,14911
34.5,24.9,11164
35.6,26.3,12930
34.8,25.7,11984
34.1,25.6,11710
33.2,25.4,11204
39.0,27.8,15793
35.6,26.6,13222
34.3,26.8,12868
41.6,27.9,16943
29.7,24.8,9536
31.4,22.3,8175
31.4,24.0,9496
32.2,23.5,9319
31.5,24.1,9597
30.3,22.6,8056
28.3,21.1,6573
31.7,23.8,9374
30.6,24.1,9279
31.4,23.1,8780
35.7,25.0,11707
34.4,24.6,10926
35.7,26.6,13184
31.0,24.3,9543
31.1,19.3,6051
30.3,19.1,5780
31.0,21.4,7428
28.2,21.6,6878
32.3,24.3,9995
27.0,22.7,7274
36.3,28.4,15327
31.8,25.5,10862
36.0,26.8,13538
35.1,27.8,14192
32.3,24.1,9821
32.5,25.7,11228
36.9,33.6,21747
31.5,24.6,9945
27.7,20.1,5868
23.2,17.9,3917
31.8,27.6,12678
34.7,28.6,14805
31.7,27.3,12397
35.7,28.7,15369
38.1,28.0,15697
36.3,28.6,15550
38.5,31.3,19680
40.4,33.2,23336
40.1,30.4,19360
40.3,31.9,21432
50.3,42.8,48278
49.2,35.0,31617
44.9,33.8,26809
53.3,39.9,44353
44.0,32.9,24935
57.9,42.7,55330
58.8,40.6,50583
50.0,38.0,37859
54.7,39.1,43747
51.4,39.3,41641
43.3,33.2,24999
50.1,37.3,36392
45.4,33.7,27041
42.0,31.0,21060
56.1,42.9,53905
54.0,39.9,44949
53.8,40.8,46857
47.9,36.7,33693
47.4,35.7,31636
48.8,34.6,30519
45.0,34.6,28188
54.6,43.2,53298
42.4,32.5,23472
53.4,45.1,56721
42.3,31.3,21647
48.9,40.0,40864
47.3,36.2,32454
43.5,40.3,36900
43.4,37.1,31203
48.2,39.6,39550
49.8,42.4,46896
45.7,33.7,27138
48.5,34.5,30259
53.5,39.7,44137
44.6,33.1,25520
48.7,35.9,32770
54.6,45.1,58223
45.6,35.8,30591
51.6,40.4,44033
44.4,34.7,27925
Average Width,Height,Volume
44.2,37.6,"9,944"
44.0,36.1,"9,451"
44.5,38.7,"10,334"
42.6,36.6,"8,869"
39.0,34.6,"6,903"
39.8,34.4,"7,470"
41.3,36.4,"8,264"
44.1,39.3,"10,054"
39.8,35.8,"7,954"
40.1,34.5,"7,413"
36.1,31.1,"5,330"
37.8,31.9,"6,113"
39.0,33.6,"6,536"
38.9,33.8,"6,535"
38.3,34.0,"7,209"
41.3,35.8,"8,132"
40.2,35.3,"7,806"
42.5,36.1,"8,334"
35.6,33.0,"5,580"
37.8,32.1,"6,160"
36.0,32.5,"5,805"
34.8,30.2,"5,144"
38.5,33.0,"6,594"
37.0,30.5,"5,620"
40.1,33.5,"7,237"
41.9,36.5,"8,653"
38.4,33.4,"6,723"
38.5,32.4,"6,783"
36.5,33.5,"5,921"
34.6,30.1,"5,144"
35.8,31.0,"5,710"
35.9,31.4,"5,443"
36.8,31.3,"5,989"
36.4,32.5,"6,005"
35.8,32.4,"5,513"
33.4,30.0,"4,612"
34.1,31.6,"5,241"
36.0,32.1,"6,044"
32.9,30.9,"4,559"
34.6,29.1,"4,864"
38.0,32.2,"6,562"
35.8,31.1,"5,486"
37.2,31.9,"6,067"
37.2,32.4,"5,576"
36.2,32.3,"5,602"
36.9,31.5,"5,927"
36.3,31.9,"5,700"
37.8,33.2,"6,197"
37.7,32.7,"6,486"
33.8,32.3,"5,125"
33.2,30.1,"4,604"
32.1,29.0,"4,336"
34.1,29.8,"4,794"
29.8,26.8,"3,515"
34.6,30.2,"5,235"
34.8,30.3,"5,045"
35.2,30.7,"5,317"
31.5,26.0,"3,609"
35.2,31.1,"5,350"
34.2,30.1,"4,993"
34.3,30.1,"4,619"
36.0,31.1,"5,667"
50.3,43.4,"14,462"
42.7,35.9,"8,873"
45.2,37.8,"10,393"
43.3,36.7,"9,147"
50.9,45.5,"15,275"
51.4,40.8,"14,024"
46.7,38.8,"11,555"
45.2,39.0,"10,480"
43.0,36.1,"8,784"
44.0,39.6,"10,005"
51.1,42.0,"14,244"
50.0,40.9,"13,488"
48.2,38.9,"12,335"
50.5,41.7,"14,418"
56.8,47.8,"20,191"
51.6,43.3,"15,200"
51.0,41.1,"14,066"
50.4,42.8,"14,416"
48.8,41.8,"12,767"
56.9,49.9,"20,743"
57.7,51.4,"21,249"
57.1,51.0,"21,567"
49.7,44.2,"14,122"
59.8,51.3,"23,821"
51.7,48.1,"15,745"
66.7,58.7,"34,150"
52.2,45.7,"16,402"
55.4,46.9,"19,119"
56.2,48.3,"20,004"